Divinity,Arc,Energy,Special,Trace Rifle
Buried Bloodline,Void,Energy,Special,Sidearm
Cloudstrike,Arc,Energy,Special,Sniper Rifle
Centrifuse,Arc,Energy,Primary,Auto Rifle
Tommy's Matchbook,Solar,Energy,Primary,Auto Rifle
Hard Light,Solar/Void/Arc,Energy,Primary,Auto Rifle
Trinity Ghoul,Arc,Energy,Primary,Bow
Hierarchy of Needs,Solar,Energy,Primary,Bow
Ticuu's Divination,Solar,Energy,Primary,Bow
Le Monarque,Void,Energy,Primary,Bow
Vex Mythoclast,Solar,Energy,Primary,Auto Rifle/Fusion Rifle
Sunshot,Solar,Energy,Primary,Hand Cannon
Collective Obligation,Void,Energy,Primary,Pulse Rifle
Graviton Lance,Void,Energy,Primary,Pulse Rifle
Symmetry,Arc,Energy,Primary,Scout Rifle
Polaris Lance,Solar,Energy,Primary,Scout Rifle
Skyburner's Oath,Solar,Energy,Primary,Scout Rifle
Tresspasser,Arc,Energy,Primary,Sidearm
Riskrunner,Arc,Energy,Primary,Submachine Gun
Tarrabah,Solar,Energy,Primary,Submachine Gun
The Manticore,Void,Energy,Primary,Submachine Gun
Tessellation,Solar/Void/Arc/Strand/Stasis,Energy,Special,Fusion Rifle
Delicate Tomb,Arc,Energy,Special,Fusion Rifle
Jotunn,Solar,Energy,Special,Fusion Rifle
Telesto,Void,Energy,Special,Fusion Rifle
Vexcalibur,Void,Energy,Special,Glaive
Ex Diris,Arc,Energy,Special,Breech Grenade Launcher
Dead Messenger,Solar/Void/Arc,Energy,Special,Breech Grenade Launcher
Eriana's Vow,Solar,Energy,Special,Hand Cannon
Lorentz Driver,Void,Energy,Special,Linear Fusion Rifle
The Fourth Horseman,Arc,Energy,Special,Shotgun
Duality,Solar,Energy,Special,Shotgun
Lord of Wolves,Solar,Energy,Special,Shotgun
Borealis,Solar/Void/Arc,Energy,Special,Sniper Rifle
Coldheart,Arc,Energy,Special,Trace Rifle
Prometheus Lens,Solar,Energy,Special,Trace Rifle
Ruinous Effigy,Void,Energy,Special,Trace Rifle
Wavesplitter,Void,Energy,Special,Trace Rifle

# Power weapons
Parasite,Solar,Power,Power,Grenade Launcher
Dragon's Breath,Solar,Power,Power,Rocket Launcher
Legend of Acrius,Arc,Power,Power,Shotgun
Leviathan's Breath,Void,Power,Power,Bow
Winterbite,Stasis,Power,Power,Glaive
The Prospector,Arc,Power,Power,Grenade Launcher
Eyes of Tomorrow,Solar,Power,Power,Rocket Launcher
Whipser of the Worm,Solar,Power,Power,Sniper Rifle
The Lament,Solar,Power,Power,Sword
One Thousand Voices,Solar,Power,Power,Fusion Rifle
Anarchy,Arc,Power,Power,Grenade Launcher
The Colony,Void,Power,Power,Grenade Launcher
Salvation's Grip,Stasis,Power,Power,Grenade Launcher
The Queenbreaker,Arc,Power,Power,Linear Fusion Rifle
Sleeper Simulant,Solar,Power,Power,Linear Fusion Rifle
Grand Overture,Arc,Power,Power,Machine Gun
Thunderlord,Arc,Power,Power,Machine Gun
Heir Apparent,Solar,Power,Power,Machine Gun
Xenophage,Solar,Power,Power,Machine Gun
Deterministic Chaos,Void,Power,Power,Machine Gun
The Wardcliff Coil,Arc,Power,Power,Rocket Launcher
Gjallarhorn,Solar,Power,Power,Rocket Launcher
Deathbringer,Void,Power,Power,Rocket Launcher
Truth,Void,Power,Power,Rocket Launcher
Two-Tailed Fox,Void,Power,Power,Rocket Launcher
Tractor Cannon,Void,Power,Power,Shotgun
D.A.R.C.I.,Arc,Power,Power,Sniper Rifle
Wordline Zero,Arc,Power,Power,Sword
Black Talon,Void,Power,Power,Sword
Heartshadow,Void,Power,Power,Sword

# Exotics added since The Final Shape
Khvostov 7G-0X,Kinetic,Kinetic,Primary,Auto Rifle
Red Death,Solar,Energy,Primary,Pulse Rifle
Still hunt,Solar,Energy,Special,Sniper Rifle
Ergo Sum,Solar/Void/Arc,Energy,Special,Sword
Microcosm,Kinetic,Power,Power,Trace Rifle
Euphony,Strand,Kinetic,Special,Linear Fusion Rifle
